ga.sh.o3181636:1:Cores, LAMMPS Cores, Individuals: 1,1,100,,10274.1,,,C,O,R,E,S
ga.sh.o3181637:1:Cores, LAMMPS Cores, Individuals: 1,1,100,,10533.7,,,1,2,4,8,16
ga.sh.o3181638:1:Cores, LAMMPS Cores, Individuals: 1,1,100,,10530.1,,Newest,10402.2285714286,7902.87,5809.05428571429,2868.29857142857,3094.1
ga.sh.o3181639:1:Cores, LAMMPS Cores, Individuals: 1,1,100,,10434.6,,,173.370476190476,131.7145,96.8175714285714,47.8049761904762,51.5683333333333
ga.sh.o3181642:1:Cores, LAMMPS Cores, Individuals: 1,1,100,,10394.9,,Mutations,"22, timeout",1,17,23,17
ga.sh.o3181643:1:Cores, LAMMPS Cores, Individuals: 1,1,100,,10630.2,,,,,,,
ga.sh.o3181645:2:Cores, LAMMPS Cores, Individuals: 1,1,100,,10018,,,,,,,
ga.sh.o3181646:1:Cores, LAMMPS Cores, Individuals: 2,1,100,,7335.3,,Original,6675.55555555556,5463.946,4628.41375,3777.892,3038.15166666667
ga.sh.o3181647:1:Cores, LAMMPS Cores, Individuals: 2,1,100,,7374.82,,,111.259259259259,91.0657666666667,77.1402291666667,62.9648666666667,50.6358611111111
ga.sh.o3181648:1:Cores, LAMMPS Cores, Individuals: 2,1,100,,8231.04,,,,,,,
ga.sh.o3181651:1:Cores, LAMMPS Cores, Individuals: 2,1,100,,8368.2,,,,,,,
ga.sh.o3181652:1:Cores, LAMMPS Cores, Individuals: 2,1,100,,8204.99,,Unclogged,2581.645,1439.327,833.005,466.521375,366.8328889
ga.sh.o3181653:1:Cores, LAMMPS Cores, Individuals: 2,1,100,,8351.11,,,43.0274166666667,23.9887833333333,13.8834166666667,7.77535625,6.11388148166667
ga.sh.o3181656:1:Cores, LAMMPS Cores, Individuals: 4,1,100,,4472.85,,Mutations,0,65,16,0,24
ga.sh.o3181659:1:Cores, LAMMPS Cores, Individuals: 4,1,100,,6578.13,,,,,,,
ga.sh.o3181660:1:Cores, LAMMPS Cores, Individuals: 4,1,100,,6162.93,,2Core,,2445.276667,1123.2876,697.3735556,438.8754
ga.sh.o3181661:1:Cores, LAMMPS Cores, Individuals: 4,1,100,,6278.76,,,,40.7546111166667,18.72146,11.6228925933333,7.31459
ga.sh.o3181663:1:Cores, LAMMPS Cores, Individuals: 4,1,100,,6281.2,,Mutations,,14,41,30,29
ga.sh.o3181664:1:Cores, LAMMPS Cores, Individuals: 4,1,100,,5292.07,,,,,,,
ga.sh.o3181665:2:Cores, LAMMPS Cores, Individuals: 4,1,100,,5597.44,,,,,,,
ga.sh.o3181666:1:Cores, LAMMPS Cores, Individuals: 8,1,100,,3626.48,,,,,,,
ga.sh.o3181667:1:Cores, LAMMPS Cores, Individuals: 8,1,100,,3186.1,,,,,,,
ga.sh.o3181670:1:Cores, LAMMPS Cores, Individuals: 8,1,100,,2726.96,,,,,,,
ga.sh.o3181671:2:Cores, LAMMPS Cores, Individuals: 8,1,100,,2991.46,,,,,,,
ga.sh.o3181672:1:Cores, LAMMPS Cores, Individuals: 8,1,100,,2756.5,,,,,,,
ga.sh.o3181673:1:Cores, LAMMPS Cores, Individuals: 8,1,100,,2812.31,,,,,,,
ga.sh.o3181674:1:Cores, LAMMPS Cores, Individuals: 8,1,100,,1978.28,,,,,,,
ga.sh.o3181676:1:Cores, LAMMPS Cores, Individuals: 16,1,100,,2726.81,,,,,,,
ga.sh.o3181677:1:Cores, LAMMPS Cores, Individuals: 16,1,100,,3561.5,,,,,,,
ga.sh.o3181678:1:Cores, LAMMPS Cores, Individuals: 16,1,100,,3427.41,,,,,,,
ga.sh.o3181679:1:Cores, LAMMPS Cores, Individuals: 16,1,100,,2740.36,,,,,,,
ga.sh.o3181683:1:Cores, LAMMPS Cores, Individuals: 16,1,100,,2686.07,,,,,,,
ga.sh.o3181685:3:Cores, LAMMPS Cores, Individuals: 16,1,100,,3422.45,,,,,,,
